time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
43583,20,-5385,137,0,1,1,0,0,0,0,0
43593,32,-5374,141,0,1,1,0,0,0,0,0
43603,35,-5379,146,0,1,1,0,0,0,0,0
43613,14,-5382,149,0,1,1,0,0,0,0,0
43623,13,-5384,147,0,1,1,0,0,0,0,0
43633,25,-5389,145,0,1,1,0,0,0,0,0
43634,17,-5388,153,0,1,1,0,0,0,0,0
43644,29,-5385,153,0,1,1,0,0,0,0,0
43654,25,-5386,138,0,1,1,0,0,0,0,0
43664,17,-5390,148,0,1,1,0,0,0,0,0
43674,20,-5378,151,0,1,1,0,0,0,0,0
43684,2,-5379,142,0,1,1,0,0,0,0,0
43694,17,-5383,138,0,1,1,0,0,0,0,0
43704,21,-5385,140,0,1,1,0,0,0,0,0
43719,20,-5380,147,0,1,1,0,0,0,0,0
43729,38,-5375,151,0,1,1,0,0,0,0,0
43739,31,-5380,147,0,1,1,0,0,0,0,0
43749,15,-5371,138,0,1,1,0,0,0,0,0
43759,15,-5365,145,0,1,1,1,0,0,0,0
43769,26,-5372,137,0,1,1,0,0,0,0,0
43779,15,-5376,139,0,1,1,0,0,0,0,0
43789,14,-5376,135,0,1,1,0,0,0,0,0
43799,11,-5379,128,0,1,1,0,0,0,0,0
43803,35,-5380,139,0,1,1,0,0,0,0,0
43813,29,-5390,139,0,1,1,0,0,0,0,0
43823,19,-5385,142,0,1,1,0,0,0,0,0
43833,15,-5374,135,0,1,1,0,0,0,0,0
43844,10,-5377,138,0,1,1,0,0,0,0,0
43854,31,-5381,146,0,1,1,0,0,0,0,0
43865,27,-5380,134,0,1,1,0,0,0,0,0
43875,29,-5381,139,0,1,1,0,0,0,0,0
43890,23,-5380,139,0,1,1,0,0,0,0,0
43900,22,-5375,146,0,1,1,0,0,0,0,0
43901,14,-5381,140,0,1,1,0,0,0,0,0
43911,18,-5385,144,0,1,1,0,0,0,0,0
43921,20,-5381,134,0,1,1,0,0,0,0,0
43932,18,-5374,143,0,1,1,0,0,0,0,0
43942,29,-5383,139,0,1,1,0,0,0,0,0
43953,22,-5374,137,0,1,1,0,0,0,0,0
43963,14,-5372,140,0,1,1,0,0,0,0,0
43974,22,-5388,153,0,1,1,0,0,0,0,0
43984,16,-5390,137,0,1,1,0,0,0,0,0
43995,21,-5378,138,0,1,1,0,0,0,0,0
44005,24,-5375,136,0,1,1,0,0,0,0,0
44016,19,-5377,135,0,1,1,0,0,0,0,0
44026,15,-5379,136,0,1,1,0,0,0,0,0
44037,33,-5386,134,0,1,1,0,0,0,0,0
44047,23,-5390,135,0,1,1,0,0,0,0,0
44058,19,-5384,133,0,1,1,0,0,0,0,0
44068,26,-5367,142,0,1,1,0,0,0,0,0
44078,15,-5368,143,0,1,1,0,0,0,0,0
44088,20,-5380,153,0,1,1,0,0,0,0,0
44098,17,-5380,147,0,1,1,0,0,0,0,0
44108,21,-5378,133,0,1,1,0,0,0,0,0
44118,30,-5388,132,0,1,1,0,0,0,0,0
44128,37,-5384,147,0,1,1,0,0,0,0,0
44129,30,-5366,150,0,1,1,0,0,0,0,0
44139,19,-5370,142,0,1,1,0,0,0,0,0
44149,21,-5377,137,0,1,1,0,0,0,0,0
44159,27,-5380,143,0,1,1,0,0,0,0,0
44169,27,-5392,145,0,1,1,0,0,0,0,0
44179,19,-5375,153,0,1,1,0,0,0,0,0
44189,24,-5368,157,0,1,1,0,0,0,0,0
44199,24,-5388,147,0,1,1,0,0,0,0,0
44209,5,-5385,146,0,1,1,0,0,0,0,0
44220,19,-5391,149,0,1,1,0,0,0,0,0
44230,20,-5384,140,0,1,1,0,0,0,0,0
44240,27,-5368,143,0,1,1,0,0,0,0,0
44250,16,-5378,137,0,1,1,0,0,0,0,0
44263,30,-5375,133,0,1,1,0,0,0,0,0
44273,20,-5376,137,0,1,1,1,0,0,0,0
44283,15,-5386,141,0,1,1,0,0,0,0,0
44293,8,-5375,142,0,1,1,0,0,0,0,0
44304,22,-5384,140,0,1,1,0,0,0,0,0
44314,25,-5380,146,0,1,1,0,0,0,0,0
44324,25,-5390,143,0,1,1,0,0,0,0,0
44334,9,-5376,154,0,1,1,0,0,0,0,0
44344,14,-5372,141,0,1,1,0,0,0,0,0
44354,23,-5372,149,0,1,1,0,0,0,0,0
44364,28,-5375,139,0,1,1,0,0,0,0,0
44374,30,-5377,138,0,1,1,0,0,0,0,0
44384,11,-5373,134,0,1,1,0,0,0,0,0
44394,26,-5378,139,0,1,1,0,0,0,0,0
44404,34,-5383,141,0,1,1,0,0,0,0,0
44414,11,-5371,136,0,1,1,0,0,0,0,0
44424,25,-5380,141,0,1,1,0,0,0,0,0
44434,37,-5374,140,0,1,1,0,0,0,0,0
44444,30,-5375,141,0,1,1,0,0,0,0,0
44454,36,-5386,153,0,1,1,0,0,0,0,0
